country;country_corrected;subcontinent;continent
ALGERIA;Algeria;Northern Africa;Africa
ANGOLA;Angola;Central Africa;Africa
ARGENTINA;Argentina;South America;America
AUSTRALIA;Australia;Oceania;Oceania
AUSTRIA;Austria;Central Europe;Europe
BANGLADESH;Bangladesh;Southern Asia;Asia
BELGIUM;Belgium;Central Europe;Europe
BERMUDA;Bermuda;Caribean;America
BOSNIA;Bosnia;Southern Europe;Europe
BOTSWANA;Botswana;Southern Africa;Africa
BRAZIL;Brazil;South America;America
BULGARIA;Bulgaria;Southern Europe;Europe
BURGARIA;Bulgaria;Southern Europe;Europe
BURUNDI;Burundi;Eastern Africa;Africa
CANADA;Canada;North America;America
CAPE VERDE;Cape Verde;Western Africa;Africa
CHILE;Chile;South America;America
CHINA;China;Eastern Asia;Asia
COLOMBIA;Colombia;South America;America
COMORO;Comoro;Eastern Africa;Africa
CONGO;Congo;Central Africa;Africa
COSTARICA;Costa Rica;Central America;America
CROATIA;Croatia;Southern Europe;Europe
CYPRUS;Cyprus;Southern Europe;Europe
CZECH REPUBLIC;Czech Republic;Central Europe;Europe
DENMARK;Denmark;Northern Europe;Europe
DJIBOUT;Djibout;Eastern Africa;Africa
DOMINICA;Dominica;Caribean;America
DRC;Democratic Republic of Congo;Central Africa;Africa
EGYPT;Egypt;Northern Africa;Africa
ESTONIA;Estonia;Northern Europe;Europe
ETHIOPIA;Ethiopia;Eastern Africa;Africa
FINLAND;Finland;Northern Europe;Europe
FRANCE;France;Central Europe;Europe
GEORGIA;Georgia;Middle East;Asia
GERMANY;Germany;Central Europe;Europe
GHANA;Ghana;Western Africa;Africa
GREECE;Greece;Southern Europe;Europe
GUINEA;Guinea;Western Africa;Africa
HAITI;Haiti;Caribean;America
HUNGARY;Hungary;Central Europe;Europe
INDIA;India;Southern Asia;Asia
INDONESIA;Indonesia;South Eastern Asia;Asia
IRAN;Iran;Middle East;Asia
IRAQ;Iraq;Middle East;Asia
IRELAND;Ireland;Central Europe;Europe
ISRAEL;Israel;Middle East;Asia
ITALY;Italy;Southern Europe;Europe
IVORY COAST;Ivory Coast;Western Africa;Africa
JAMAICA;Jamaica;Caribean;America
JAPAN;Japan;Eastern Asia;Asia
KENYA;Kenya;Eastern Africa;Africa
KOREA;Korea;Eastern Asia;Asia
KUWAIT;Kuwait;Middle East;Asia
LATVIA;Latvia;Northern Europe;Europe
LEBANON;Lebanon;Middle East;Asia
LESOTHO;Lesotho;Southern Africa;Africa
LIBERIA;Liberia;Western Africa;Africa
LITHUANIA;Lithuania;Northern Europe;Europe
LUXEMBOURG;Luxembourg;Central Europe;Europe
MACEDONIA;Macedonia;Southern Europe;Europe
MADAGASCAR;Madagascar;Eastern Africa;Africa
MALAWI;Malawi;Eastern Africa;Africa
MALAYSIA;Malaysia;South Eastern Asia;Asia
MALT;Malt;Southern Europe;Europe
MAURITIUS;Mauritius;Eastern Africa;Africa
MEXICO;Mexico;North America;America
MONTENEGRO;Montenegro;Southern Europe;Europe
MORROCO;Morroco;Northern Africa;Africa
MOZAMBIQUE;Mozambique;Eastern Africa;Africa
MYANMAR;Myanmar;South Eastern Asia;Asia
NAMIBIA;Namibia;Southern Africa;Africa
NEPAL;Nepal;Southern Asia;Asia
NETHERLANDS;Netherlands;Central Europe;Europe
NEW ZEALAND;New Zealand;Oceania;Oceania
NIGER;Niger;Western Africa;Africa
NIGERIA;Nigeria;Western Africa;Africa
NORWAY;Norway;Northern Europe;Europe
OMAN;Oman;Middle East;Asia
PAKISTAN;Pakistan;Southern Asia;Asia
PERU;Peru;South America;America
PHILIPINES;Philipines;South Eastern Asia;Asia
POLAND;Poland;Central Europe;Europe
PORTUGAL;Portugal;Southern Europe;Europe
QATAR;Qatar;Middle East;Asia
ROMANIA;Romania;Southern Europe;Europe
RUSSIA;Russia;Central Europe;Europe
RWANDA;Rwanda;Eastern Africa;Africa
SAUD ARABIA;Saudi Arabia;Middle East;Asia
SCOTLAND;Scotland;Central Europe;Europe
SERBIA;Serbia;Southern Europe;Europe
SINGAPORE;Singapore;South Eastern Asia;Asia
SLOVAKIA;Slovakia;Central Europe;Europe
SLOVENIA;Slovenia;Central Europe;Europe
SOMALI;Somali;Eastern Africa;Africa
SOUTH AFRICA;South Africa;Southern Africa;Africa
SPAIN;Spain;Southern Europe;Europe
SRI LANKA;Sri Lanka;Southern Asia;Asia
SUDAN;Sudan;Northern Africa;Africa
SWAZILAND;Swaziland;Southern Africa;Africa
SWEDEN;Sweden;Northern Europe;Europe
SWIZERLAND;Swizerland;Central Europe;Europe
TAIWAN;Taiwan;Eastern Asia;Asia
THAILAND;Thailand;South Eastern Asia;Asia
TRINIDAD TOBACCO;Trinidad Tobago;Caribean;America
TUNISIA;Tunisia;Northern Africa;Africa
TURKEY;Turkey;Middle East;Asia
UAE;United Arab Emirates;Middle East;Asia
UGANDA;Uganda;Eastern Africa;Africa
UKRAIN;Ukrain;Central Europe;Europe
UNITED ARAB EMIRATES;United Arab Emirates;Middle East;Asia
UNITED KINGDOM;United Kingdom;Central Europe;Europe
UNITED STATES OF AMERICA;United States Of America;North America;America
URUGUAY;Uruguay;South America;America
VIETNAM;Vietnam;South Eastern Asia;Asia
YEMEN;Yemen;Middle East;Asia
ZAMBIA;Zambia;Eastern Africa;Africa
ZIMBABWE;Zimbabwe;Eastern Africa;Africa
